央视, #genre#
CCTV-7,  https://iptv.luas.edu.cn/liverespath/f116a0a5035935a3435155998163d8eaa60554c3/568d11d133-0-0-4c35561ae1221d03936258412d8c161f/index.m3u8
CCTV-8,  https://iptv.luas.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/32b3720789-0-0-db906b60b692a35cfa91210dd4319e90/index.m3u8
CCTV-9,  https://iptv.luas.edu.cn/liverespath/0d0f0da65ba843b8d1dd6fed315bfea896ddd20d/eca625aebb-0-0-26e8cfc4ed73fd7e1a075dbd8c0986b8/index.m3u8
CCTV-10, https://iptv.luas.edu.cn/liverespath/96f212c8bb9eca90c8f15ae041b4f64b3a3ba67b/aa0b07ee97-0-0-cdb4ba0c88a6a06dc52d2ca2db47a6c7/index.m3u8
CCTV-12, https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/469ca57581-0-0-567968c20e3f6cb7ada3745d7b190988/index.m3u8
CCTV-14, https://iptv.luas.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/c3cc84e6c2-0-0-fa2f9b0b142f6f21e47b0336cf96ad9b/index.m3u8
CCTV-5+, https://iptv.luas.edu.cn/liverespath/7b02d30e42de3c0078c158ce81421accad3a8400/2fb81fa812-0-0-d7d2dbe18c3ddd266260bef5b028500b/index.m3u8
CGTN, https://iptv.luas.edu.cn/liverespath/24aebb75a7e6184f5eefe72bd330328a7fa4fbb8/1f0534d0fe-0-0-2044e86ce5c31d48913a52e8fb31e25d/index.m3u8

    #cctv.com#
CCTV-13, https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13, https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8

    #olelive#
CCTV-1,  https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,  https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-5,  https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-7,  https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8,  https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9,  https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10, https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-17, https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8
CCTV-5+, https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8

    #zteres#
CCTV-1,  http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3
CCTV-1,  http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000018602/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV-1,  http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3
CCTV-1,  http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
CCTV-2,  http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3
CCTV-3,  http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3
